Sentences,Virtual,Video,Escorted,Self-Guided
"Wonderful. Can my wife be accompanied on the tour today at 4:10 p.m.? I hope to hear back soon, Virginia.",0,0,1,0
"Great Steven. I wish a virtual tour, maybe Today at 8:10 a.m.? See you soon, Christina.",1,1,0,0
"Sounds good Jeffrey. My wife wants to be on sight, possibly Tomorrow at 3:30 p.m.? Thanks, Jamie.",0,0,1,1
"Good evening. I desire to see the place on video, what about Tomorrow at 2:30 p.m.? See you soon, Anthony.",1,1,0,0
"Hello Peter. Today at 2:10 p.m. I'm out of State, so I can't visit the unit. , Carol.",1,1,0,0
"Alright. Today I can't be there in person. , Julie.",1,1,0,0
Hello Kimberly. Could I see the flat on my own tomorrow at 9:40 a.m.? Thank you.,0,1,0,1
"Great. I wish to see the unit on video, perhaps Today at 2:10 p.m.? See you soon, Madison.",1,1,0,0
"Sounds good. My client wants to be on sight, maybe Today at 9:40 a.m.? Thank you, Shelly.",0,0,1,1
"Alright Robert. I wish a self guided tour, possibly Tomorrow at 1:30 p.m.? Thanks in advance.",0,0,0,1
". My husband wants to actually see the unit, what about Tomorrow at 5:30 p.m.? I hope this works, Karen.",0,0,1,1
" Marcus. I wish a video tour, what about On March 9th? Goodbye, Austin.",1,1,0,0
"Cool Amy. Today at 10:30 a.m. I'm traveling, so I can't visit the building. See you soon, Kevin.",1,1,0,0
"Sounds good. I would like an appointment, possibly On January 20th? Thanks, Donald.",0,0,1,1
"Cool. I need to see it, but can't come in person, what about Tomorrow at 9:00 a.m.? I hope this works.",1,1,0,0
"Good afternoon. I want a tour with a leasing agent  Tomorrow at 8:40 a.m.. Thanks, Sarah.",0,0,1,0
"Hello Steven. Can my client see the rental unit tomorrow? See you soon, Alyssa.",0,0,1,1
"To whom it may concern, My partner wants to have a virtual tour, maybe On June 23rd? , Taylor.",1,0,0,0
 Richard. Can I see it in person today? Let me know.,0,0,1,1
". My mother wants to actually see the rental unit, perhaps Today at 5:10 p.m.? I hope to hear back soon.",0,0,1,1
Good morning David. Can I schedule a call for tomorrow at 2:20 p.m.? Thanks.,1,0,0,0
"Sounds good Walter. I wish a video tour  Today at 4:00 p.m.. Thank you, Christopher.",1,1,0,0
"Great Keith. Could I schedule a 3D tour on October 20th? Thank you, Alexis.",1,1,0,0
"Great. My father wants to be on sight, what about Tomorrow at 4:30 p.m.? I hope to hear back soon, Jessica.",0,0,1,1
"Alright Evan. I desire a tour without a leasing agent, maybe Tomorrow at 4:30 p.m.? See you soon.",0,0,0,1
"Hey Brian. I desire a virtual tour, possibly Tomorrow at 4:40 p.m.? Thanks in advance, Holly.",1,1,0,0
"Alright. I need to have a look at the rental unit, perhaps Today? Goodbye, Austin.",1,1,1,1
". I wish a video tour, what about Tomorrow at 2:10 p.m.? See you soon, Jesse.",1,1,0,0
"Good afternoon Christopher. I would like to see it in person, what about On December 20th? See you soon, William.",0,0,1,1
" Benjamin. I would like to have a look at the building  Tomorrow at 9:00 a.m.. Thank you, Levi.",1,1,1,1
"Hi. Can I see the building in person tomorrow at 10:20 a.m.? I hope this works, Rose.",0,0,1,1
"Good evening Christian. I would like someone with me on my tour, perhaps Tomorrow at 4:20 p.m.? I hope this works, John.",0,0,1,0
"Good morning Charles. I desire an appointment, perhaps Tomorrow at 10:20 a.m.? Goodbye, Terri.",0,0,1,1
"Good morning Edwin. Today at 9:40 a.m. I can't be there in person. Thanks, Kara.",1,1,0,0
". I would like to see the apartment in person, perhaps Today at 1:40 p.m.? Thank you, Nathan.",0,0,1,1
Good afternoon Daniel. I wish to see it on my own  Tomorrow at 10:40 a.m.. Thank you.,1,1,0,1
"Great Amanda. I wish to see it on my own, maybe Tomorrow at 3:40 p.m.? I hope this works.",1,1,0,1
"To whom it may concern, I want to see it in person, possibly On July 16th? , Dominic.",0,0,1,1
"Perfect Brian. I want to see the community in person, what about Tomorrow at 3:30 p.m.? Thanks in advance.",0,0,1,1
" Could I schedule an online tour on September 10th? , Hunter.",1,1,0,0
"To whom it may concern, I want an online tour, what about On September 23rd? Thank you, Jerry.",1,1,0,0
"Perfect. I want someone with me on my tour, what about On August 5th? Let me know, Cody.",0,0,1,0
"Good evening Mark. I would like to see the building in person  Tomorrow at 9:00 a.m.. I hope to hear back soon, Karen.",0,0,1,1
"Good afternoon Carlos. Today at 10:30 a.m. I don't want a leasing agent for my tour. Thanks, Mark.",0,1,0,1
"Good evening Jeremy. I desire someone with me on my tour, what about On November 5th? Thank you, Brandon.",0,0,1,0
"Hi Leslie. I want a tour with a leasing agent, perhaps On July 22nd? Goodbye, Ronald.",0,0,1,0
"Good evening. I want to see it, but can't come in person  Today at 5:10 p.m.. , Robert.",1,1,0,0
 Garrett. I wish to see the rental unit in person Today at 1:00 p.m.. Goodbye.,0,0,1,1
"Sounds good Nathan. My wife wants to have a virtual tour, what about Today at 9:30 a.m.? , Jose.",1,0,0,0
"Hey Shelby. I would like to be able to talk to a leasing agent on my tour, possibly On April 14th? I hope this works.",0,0,1,0
Alright Ryan. I wish a 3D tour  Today at 9:20 a.m.. Thanks.,1,1,0,0
"Great. I would like a tour with a leasing agent, possibly Tomorrow at 8:10 a.m.? .",0,0,1,0
"Hey. I wish a video tour  Tomorrow at 8:10 a.m.. , Robert.",1,1,0,0
"Good afternoon. I need to see the rental unit on my own  Today at 1:40 p.m.. , Kathy.",0,1,0,1
"Hey Sheila. I would like to see the apartment on video  Tomorrow at 3:10 p.m.. Thanks in advance, Robert.",1,1,0,0
"Sounds good Melanie. I wish to see the place  Tomorrow at 8:20 a.m.. Goodbye, Catherine.",1,1,1,1
"Good evening Krystal. I need to see the building in person Today. Let me know, Kimberly.",0,0,1,1
"Hello Samantha. On July 2nd I'm traveling, so I can't visit the place. I hope this works, David.",1,1,0,0
"To whom it may concern, Could I schedule a virtual tour for tomorrow at 2:40 p.m.? See you soon.",1,1,0,0
" I would like to see the apartment on my own, maybe On March 5th? Thank you, John.",0,1,0,1
"Hi. I would like to have a look at the flat  On July 4th. I hope this works, Hannah.",1,1,1,1
"To whom it may concern, I desire an appointment On December 11th. Thanks in advance, Julie.",0,0,1,1
"Perfect Nicole. My brother wants to be accompanied on the tour, possibly On June 16th? Thanks, Alice.",0,0,1,0
"Cool Becky. I would like to see the place on video, perhaps On January 5th? See you soon, Yvonne.",1,1,0,0
 I wish to see it in person  Tomorrow at 2:10 p.m.. I hope this works.,0,0,1,1
"Perfect Christopher. I need a tour with a leasing agent, perhaps On December 17th? Goodbye, James.",0,0,1,0
"Hey Erica. I would like to be accompanied on my tour, maybe On December 1st? See you soon, Michelle.",0,0,1,0
Perfect Trevor. Can I get a 3D tour for tomorrow at 1:00 p.m.? See you soon.,1,1,0,0
"Cool Jose. Tomorrow at 5:00 p.m. I'm on vacation, so I can't visit the place. Thanks in advance.",1,1,0,0
". I wish to be accompanied on my tour, perhaps Today at 4:20 p.m.? I hope to hear back soon.",0,0,1,0
"Alright. I wish a tour without a leasing agent, possibly On October 3rd? Goodbye, Melody.",0,0,0,1
"Good afternoon. Today at 4:10 p.m. I'm traveling, so I can't visit the building. See you soon, Anna.",1,1,0,0
"Hi. I desire to see it on my own  Tomorrow at 9:40 a.m.. I hope this works, Melissa.",1,1,0,1
"Perfect Brittany. I wish a self guided tour, maybe On July 1st? Thank you, Jason.",0,0,0,1
"To whom it may concern, Can my father have a virtual tour for tomorrow at 10:30 p.m.? Thanks, Michael.",1,0,0,0
"Perfect Douglas. I wish to see the rental unit on video Today. Thanks, Christopher.",1,1,0,0
"Good morning. I want an appointment, possibly Tomorrow at 9:30 a.m.? Thanks.",0,0,1,1
"Wonderful Jerry. I want a Zoom tour, what about On February 24th? Thank you.",1,0,0,0
"Sounds good Sandra. I wish to be accompanied on my tour, maybe Today at 10:10 a.m.? Thank you, Kaitlyn.",0,0,1,0
"Hey Andrew. Could I schedule a video tour for tomorrow? Thanks, Amanda.",1,1,0,0
"Hello Joyce. I would like to have a look at the community  Tomorrow. I hope to hear back soon, Christopher.",1,1,1,1
"Alright. I want to see it from my computer, possibly Today at 3:00 p.m.? See you soon, Alexis.",1,1,0,0
" Melanie. I need to see the unit on my own On September 5th. See you soon, Elizabeth.",0,1,0,1
"Hello Cynthia. My wife wants to be accompanied on the tour, maybe Tomorrow at 2:10 p.m.? I hope this works, Daniel.",0,0,1,0
"Hello Michelle. I need to see it in person, possibly Tomorrow at 10:10 a.m.? Goodbye, Rebecca.",0,0,1,1
"Wonderful Kevin. I want to have a look at the rental unit  Today at 8:20 a.m.. Thanks, Karen.",1,1,1,1
Hey Susan. My wife wants to see the unit in person  On November 17th. Thanks in advance.,0,0,1,1
"Hi. Could I schedule a 3D tour for today at 10:40a.m.? I hope to hear back soon, Eric.",1,1,0,0
"Good afternoon. I want to see the rental unit in person, perhaps Today? Goodbye, Deborah.",0,0,1,1
Good morning. Could I schedule a Zoom tour for tomorrow? Goodbye.,1,0,0,0
Hey Darrell. Can I see the rental unit on video today at 8:20 a.m.? Thanks.,1,1,0,0
"Hey Judith. I desire to see it from my computer, what about Today at 1:30 p.m.? Let me know, Christina.",1,1,0,0
"Great. I would like a tour without a leasing agent, possibly On September 12th? Thanks in advance, David.",0,0,0,1
"Hello. My wife wants to be on sight, possibly On June 7th? , Charles.",0,0,1,1
"Good evening Jacob. I need a virtual tour, maybe Today at 5:10 p.m.? I hope this works.",1,1,0,0
"Great. I would like to see it on my own, perhaps On April 12th? Let me know, Eric.",1,1,0,1
"To whom it may concern, I would like to see it, but can't come in person, what about On November 9th? Thank you, Janet.",1,1,0,0
"Hey. I would like to have a look at the rental unit, maybe On January 3rd? Thanks in advance.",1,1,1,1
" I would like to see the community on video, maybe On September 1st? I hope this works, Greg.",1,1,0,0
"Hi Toni. Today at 4:40 p.m. I can't be there in person. Thank you, Scott.",1,1,0,0
"To whom it may concern, My husband wants to be on sight, what about On March 19th? , Anthony.",0,0,1,1
"Good morning Richard. Can I see the flat in person on June 19th? Let me know, Tina.",0,0,1,1
"Wonderful Joseph. I want to see the place, perhaps On July 26th? Thanks in advance, Keith.",1,1,1,1
"Good morning. I need to be accompanied on my tour  Today at 9:20 a.m.. , Andrew.",0,0,1,0
"Hello Raymond. Could I see the unit in person on November 20th? Let me know, Nicholas.",0,0,1,1
"Perfect Karen. I desire to see the flat in person, perhaps Tomorrow at 2:00 p.m.? Thanks.",0,0,1,1
"Hi Julie. I need to see the community in person  Today at 2:10 p.m.. Goodbye, Regina.",0,0,1,1
"Hey Carlos. I need a tour without a leasing agent, possibly On January 19th? Thanks in advance.",0,0,0,1
Good evening. I need an appointment  Today. I hope this works.,0,0,1,1
"Hello Carol. I need to see the unit on video, what about Tomorrow at 10:30 a.m.? Let me know.",1,1,0,0
"Good evening Tanner. I desire a tour without a leasing agent, perhaps On July 14th? I hope to hear back soon, Crystal.",0,0,0,1
"Great Wanda. I need to see it on my own, what about Today at 3:10 p.m.? Thanks.",1,1,0,1
"Good morning. I desire to have a look at the apartment, what about On May 23rd? , Patty.",1,1,1,1
"Hello Richard. I wish a video tour, possibly Today at 9:30 a.m.? I hope this works, Brittany.",1,1,0,0
"Good morning Joseph. I wish to see the place, maybe Tomorrow at 5:10 p.m.? , Tracy.",1,1,1,1
"Hello Gregory. I would like to be able to talk to a leasing agent on my tour, perhaps Today at 10:10 a.m.? Let me know.",0,0,1,0
"Alright Benjamin. My sister wants to have a virtual tour  Tomorrow at 10:10 a.m.. I hope this works, Amy.",1,0,0,0
"To whom it may concern, I want to see the building in person, perhaps Tomorrow? I hope to hear back soon.",0,0,1,1
Perfect. My client wants to see the building in person  On February 26th. See you soon.,0,0,1,1
"Alright Hannah. I would like to see the rental unit on my own, maybe Today at 9:10 a.m.? Thank you.",0,1,0,1
" I would like to see the apartment in person, possibly Today at 4:00 p.m.? Goodbye, Carrie.",0,0,1,1
"Hi Jamie. My wife wants to be on sight, perhaps On December 11th? See you soon, Darren.",0,0,1,1
"Hello. I want a 3D tour  Today at 10:00 a.m.. Thanks in advance, Anthony.",1,1,0,0
"Cool Jennifer. My wife wants to see the rental unit in person, what about Today at 3:00 p.m.? Thanks in advance.",0,0,1,1
"Perfect. I would like to see the place on video, what about Tomorrow at 2:10 p.m.? Thank you, Jonathan.",1,1,0,0
"Good afternoon. I wish to schedule a call, what about On March 24th? Goodbye, Jenny.",1,0,0,0
"Good afternoon Melissa. On June 10th I'm traveling, so I can't visit the apartment. See you soon, William.",1,1,0,0
"Good evening Todd. I wish a tour without a leasing agent Today at 10:40 a.m.. I hope this works, Margaret.",0,0,0,1
"Good afternoon Amanda. I need to be accompanied on my tour, possibly Today at 10:10 a.m.? I hope this works, Wyatt.",0,0,1,0
"Wonderful. I want to see the unit on video, possibly Today at 2:10 p.m.? Thank you, Sheila.",1,1,0,0
Hi. Can my wife schedule a virtual tour on April 1st? I hope this works.,1,0,0,0
"Perfect James. I would like a tour without a leasing agent, what about On September 9th? , Jeremy.",0,0,0,1
"Good evening. I desire a tour without a leasing agent, maybe Tomorrow at 4:30 p.m.? I hope this works, Diana.",0,0,0,1
"Wonderful Elizabeth. My wife wants to be on sight, maybe Today? See you soon.",0,0,1,1
"Good evening. I need to have a look at the unit, what about Tomorrow at 3:00 p.m.? I hope this works, Tara.",1,1,1,1
" Michael. Can I schedule a Zoom tour on July 28th? Thanks in advance, Emily.",1,0,0,0
". I desire a video tour, maybe Today at 5:40 p.m.? I hope to hear back soon, Sharon.",1,1,0,0
"Cool Elizabeth. I would like to see the unit on video, perhaps On October 29th? I hope to hear back soon.",1,1,0,0
Good evening Robert. I want a video tour  Tomorrow at 5:30 p.m.. I hope this works.,1,1,0,0
"Good evening Julie. I desire to see the place, maybe Tomorrow at 3:20 p.m.? Thanks.",1,1,1,1
 On January 4th I don't want a leasing agent for my tour. Goodbye.,0,1,0,1
"Wonderful Laurie. Can I get an online tour for tomorrow at 10:30 a.m.? I hope this works, Kimberly.",1,1,0,0
"Hi Brandon. My husband wants to actually see the building, maybe Tomorrow at 2:30 p.m.? Goodbye, Michael.",0,0,1,1
"Alright. Could I schedule a tour on February 7th? , Joshua.",0,0,1,0
" I need a 3D tour, what about On May 14th? Thank you, Shawn.",1,1,0,0
"Good evening Billy. I wish a tour with a leasing agent, perhaps On June 25th? , Mary.",0,0,1,0
"Cool. I desire an online tour, perhaps On September 9th? Thanks in advance, Lori.",1,1,0,0
"Hello Stephanie. Can my mother see the place in person on May 12th? Goodbye, Ashley.",0,0,1,1
"Alright Haley. I need an online tour  Today at 3:20 p.m.. See you soon, Nicole.",1,1,0,0
"Hi Jason. On October 6th I wish to see it on my own. I hope to hear back soon, Cindy.",1,1,0,1
" Aaron. I desire to see the place in person, possibly Tomorrow at 9:20 a.m.? See you soon.",0,0,1,1
"Perfect Michelle. I need to see the place on video, possibly Today? Goodbye, Ryan.",1,1,0,0
"Hi. I wish a self guided tour, possibly On November 22nd? Thanks in advance.",0,0,0,1
"Perfect Michael. I would like to see it on my own  Tomorrow at 9:30 a.m.. Thank you, Matthew.",1,1,0,1
"Hello Vincent. I desire a 3D tour, perhaps Tomorrow? See you soon, Jason.",1,1,0,0
"Hi Amy. Can I get an online tour for tomorrow at 10:40 a.m.? Let me know, Michael.",1,1,0,0
"Good afternoon Toni. I would like to have a look at the flat  Today at 8:00 a.m.. Let me know, Brenda.",1,1,1,1
"Good morning. I desire to be accompanied on my tour  Tomorrow at 3:20 p.m.. I hope to hear back soon, Jeffrey.",0,0,1,0
"Good afternoon Lisa. Could I schedule someone with me on my tour today? Goodbye, Kevin.",0,0,1,0
Good evening. I would like a Zoom tour  Today. Thank you.,1,0,0,0
"Sounds good. I need a tour without a leasing agent, possibly Tomorrow? Thanks, Alexis.",0,0,0,1
"Hi Chad. I need an appointment, maybe Today? See you soon, Dennis.",0,0,1,1
". I want a tour without a leasing agent, what about Today at 8:30 a.m.? , Crystal.",0,0,0,1
Sounds good Jeanne. Can my father see the apartment in person today at 8:40 a.m.? Thank you.,0,0,1,1
"Good evening Danielle. I want to schedule a call, maybe Today at 10:10 a.m.? Goodbye.",1,0,0,0
"Wonderful Bill. I would like an appointment, what about On October 28th? Let me know.",0,0,1,1
"Sounds good Ronald. I need a tour with a leasing agent, possibly Today at 5:20 p.m.? Thanks, Monica.",0,0,1,0
"Cool Nancy. On July 10th I can't be there in person. See you soon, Kenneth.",1,1,0,0
"Wonderful. I desire a 3D tour, perhaps On April 9th? See you soon, Eric.",1,1,0,0
"Hi James. I desire to see it in person, what about Tomorrow at 8:40 a.m.? .",0,0,1,1
"Wonderful Michelle. My husband wants to have a virtual tour, possibly On December 16th? I hope to hear back soon.",1,0,0,0
"Good evening Steven. I wish to have a look at the place, what about Tomorrow at 8:30 a.m.? , Brett.",1,1,1,1
"Good afternoon Ryan. I desire a virtual tour, maybe Today? Thank you.",1,1,0,0
"Cool Natalie. Can I schedule an appointment for tomorrow? Thank you, Nicholas.",0,0,1,1
"Hello Tamara. I would like to see the rental unit in person, perhaps Tomorrow? Goodbye, Joyce.",0,0,1,1
"Wonderful Diane. My brother wants to be on sight, possibly Tomorrow at 10:30 a.m.? Thank you.",0,0,1,1
"Hi Juan. Can I schedule an appointment for tomorrow? Thank you, James.",0,0,1,1
"Great Marilyn. Can my client be on sight tomorrow at 4:30 p.m.? Goodbye, Daniel.",0,0,1,1
"Alright Sarah. I want to schedule a call  Today at 2:20 p.m.. , Christopher.",1,0,0,0
" I want to see the flat on video  Today at 10:10 a.m.. Let me know, Randy.",1,1,0,0
"Perfect. My partner wants to be on sight, what about On October 25th? Goodbye.",0,0,1,1
"Cool. Today at 1:20 p.m. I desire to see it, but can't come in person. Let me know.",1,1,0,0
" On May 19th I can't be there in person. , Stephen.",1,1,0,0
"Great. My partner wants to have a virtual tour, maybe Tomorrow at 9:10 a.m.? Let me know, Greg.",1,0,0,0
"To whom it may concern, I would like to see the apartment in person, what about Tomorrow at 8:20 a.m.? I hope to hear back soon, Cynthia.",0,0,1,1
Great Kyle. Can I get a virtual tour for tomorrow at 8:30 p.m.? Thank you.,1,1,0,0
Alright Mike. I would like to see the apartment in person Today at 5:10 p.m.. See you soon.,0,0,1,1
"Hello. I would like someone with me on my tour, possibly Today? Goodbye, Shane.",0,0,1,0
"Alright Ronald. I would like to see it in person, maybe Tomorrow at 4:30 p.m.? I hope this works, Daniel.",0,0,1,1
"Great Max. I need to schedule a call  Tomorrow at 2:20 p.m.. , Chelsey.",1,0,0,0
"Hello. Can I see it from my computer on August 14th? Thank you, Thomas.",1,1,0,0
". Today I don't want a leasing agent for my tour. Thanks, Kenneth.",0,1,0,1
"To whom it may concern, I need to see the apartment on my own  Today. Goodbye, Bradley.",0,1,0,1
Cool Tyler. On March 21st I don't want a leasing agent for my tour. I hope to hear back soon.,0,1,0,1
Sounds good Joseph. Tomorrow at 9:10 a.m. I don't want a leasing agent for my tour. Goodbye.,0,1,0,1
"Wonderful David. I wish to see it in person, possibly On June 24th? See you soon, Cynthia.",0,0,1,1
"Hey. Today at 8:40 a.m. I can't be there in person. I hope to hear back soon, Jean.",1,1,0,0
" Could my client schedule a virtual tour? Let me know, Elizabeth.",1,0,0,0
"Good evening. Could I see the rental unit in person on July 17th? Let me know, Cynthia.",0,0,1,1
"Good evening Alexandra. I want a self guided tour Tomorrow at 5:10 p.m.. , Daniel.",0,0,0,1
"Great. I want to be able to talk to a leasing agent on my tour, possibly On November 13th? , Roberto.",0,0,1,0
"Alright Cynthia. I desire to see the apartment on my own, perhaps On February 11th? Thank you, Wayne.",0,1,0,1
"Good afternoon Kristina. I would like to see it from my computer, what about Tomorrow at 3:00 p.m.? Thanks.",1,1,0,0
"Good morning Mark. Can I be accompanied on my tour on April 27th? Goodbye, Jesus.",0,0,1,0
"To whom it may concern, My partner wants to actually see the rental unit  Today at 8:30 a.m.. I hope this works.",0,0,1,1
"Good afternoon Kristopher. I wish to see it from my computer, maybe On August 22nd? I hope to hear back soon.",1,1,0,0
"Hey Jennifer. Could I schedule a self guided tour for today at 8:30a.m.? Let me know, Jonathan.",0,0,0,1
"To whom it may concern, I need to see it from my computer, perhaps Today at 9:30 a.m.? See you soon, Nancy.",1,1,0,0
"Alright Melanie. I desire to schedule a call, perhaps Tomorrow? Thank you, Donna.",1,0,0,0
"Sounds good Kevin. Tomorrow at 5:20 p.m. I can't be there in person. Let me know, Cody.",1,1,0,0
"Alright Joel. My husband wants to see the unit in person, perhaps Tomorrow at 10:00 a.m.? Let me know, Kathleen.",0,0,1,1
" I wish a tour without a leasing agent, what about Today at 2:20 p.m.? Thanks, Christopher.",0,0,0,1
 Can my husband see the place in person tomorrow at 10:40 a.m.? Thank you.,0,0,1,1
"Wonderful Anthony. I need to see the place, possibly On December 5th? .",1,1,1,1
"Cool Amanda. I wish someone with me on my tour, what about Tomorrow at 5:10 p.m.? .",0,0,1,0
Hello Ashley. I desire to be able to talk to a leasing agent on my tour  On September 18th. I hope to hear back soon.,0,0,1,0
"Good evening. I would like a virtual tour, possibly On May 22nd? I hope to hear back soon.",1,1,0,0
"Perfect. I need a virtual tour, what about On June 1st? Let me know, Tracey.",1,1,0,0
"Hi Michael. I would like to have a look at the unit  On August 9th. Goodbye, Latoya.",1,1,1,1
"Hey Joseph. I need to see the community on my own, perhaps Today? I hope to hear back soon.",0,1,0,1
"Wonderful Caitlyn. My brother wants to be accompanied on the tour, perhaps Tomorrow at 1:20 p.m.? Thanks, Leonard.",0,0,1,0
"To whom it may concern, I need a tour with a leasing agent, possibly On January 23rd? Goodbye, Jessica.",0,0,1,0
"Cool Stacy. I would like to schedule a call  Tomorrow at 10:30 a.m.. Thank you, Steven.",1,0,0,0
"Hello Jeremy. I desire an appointment, what about Today at 8:30 a.m.? Goodbye.",0,0,1,1
"Perfect Rhonda. I need to schedule a call, perhaps On November 8th? Thanks, Melissa.",1,0,0,0
Wonderful. I need to be accompanied on my tour  Tomorrow at 5:40 p.m.. Thank you.,0,0,1,0
"Wonderful Tiffany. Can my father be accompanied on the tour for tomorrow at 10:10 a.m.? Goodbye, Jessica.",0,0,1,0
"Good afternoon John. My sister wants to have a virtual tour, possibly Tomorrow at 1:00 p.m.? Thanks in advance.",1,0,0,0
Hi Cole. My father wants to actually see the building  Tomorrow at 5:40 p.m.. .,0,0,1,1
"Cool Robert. Today at 9:30 a.m. I don't want a leasing agent for my tour. Thank you, Jamie.",0,1,0,1
"Perfect Mike. On March 13th I don't want a leasing agent for my tour. I hope to hear back soon, Amanda.",0,1,0,1
"Alright Heather. Tomorrow I'm traveling, so I can't visit the unit. I hope to hear back soon, Jennifer.",1,1,0,0
Good morning Megan. Could I schedule a video tour on November 16th? Goodbye.,1,1,0,0
"Great Seth. I desire an online tour, perhaps On October 1st? , James.",1,1,0,0
"Hi Jeremy. I need to see the flat on my own, perhaps Today? Thanks in advance, Yolanda.",0,1,0,1
"Alright. I would like a Zoom tour, maybe Today? , Juan.",1,0,0,0
"Alright Blake. I desire a video tour, maybe On December 23rd? Thanks.",1,1,0,0
"To whom it may concern, Today at 3:10 p.m. I can't be there in person. Thanks.",1,1,0,0
". I desire someone with me on my tour, perhaps Tomorrow at 2:20 p.m.? , Ethan.",0,0,1,0
"Good morning. I would like an appointment, possibly Today at 5:10 p.m.? , Stephanie.",0,0,1,1
Good morning Daniel. Can I get an online tour for tomorrow at 10:30 a.m.? Let me know.,1,1,0,0
"Wonderful Michael. I wish to see the flat on video  Tomorrow at 10:40 a.m.. Thanks, Robin.",1,1,0,0
" Phillip. On September 13th I don't want a leasing agent for my tour. I hope this works, Jonathan.",0,1,0,1
"Hi Ashley. I desire to see the community in person, maybe On February 4th? See you soon.",0,0,1,1
"Good evening. Can I see it in person today at 2:00 p.m.? , Anthony.",0,0,1,1
"Hi. I need to see the flat on video, maybe Today at 10:40 a.m.? Let me know, Melissa.",1,1,0,0
"Good afternoon Megan. I wish to see the community on video, maybe On June 1st? Thanks, Kimberly.",1,1,0,0
"Perfect Donald. Can my husband be accompanied on the tour today at 3:10 p.m.? Let me know, James.",0,0,1,0
"Good afternoon Joseph. Can my father be on sight tomorrow at 9:30 a.m.? I hope this works, Heather.",0,0,1,1
"Good afternoon Jared. I would like to be able to talk to a leasing agent on my tour, possibly Today at 5:10 p.m.? Thank you.",0,0,1,0
